# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
25.796875	1.7800947e-44	1.0720129e-45	6.1847959e-44
25.804688	1.7762266e-44	1.0699312e-45	6.1708408e-44
25.812500	1.7723692e-44	1.0678686e-45	6.1569328e-44
25.820312	1.7685223e-44	1.0658142e-45	6.1430715e-44
25.828125	1.7646861e-44	1.0637649e-45	6.1292568e-44
25.835938	1.7608604e-44	1.0617208e-45	6.1154885e-44
25.843750	1.7570452e-44	1.0596819e-45	6.1016080e-44
25.851562	1.7532405e-44	1.0576481e-45	6.0877607e-44
25.859375	1.7494463e-44	1.0556195e-45	6.0740606e-44
25.867188	1.7456625e-44	1.0535960e-45	6.0604078e-44
25.875000	1.7418891e-44	1.0515776e-45	6.0468008e-44
25.882812	1.7381260e-44	1.0495643e-45	6.0332394e-44
25.890625	1.7343733e-44	1.0475561e-45	6.0197235e-44
25.898438	1.7306309e-44	1.0455530e-45	6.0062528e-44
25.906250	1.7268987e-44	1.0435548e-45	5.9928271e-44
25.914062	1.7231767e-44	1.0415618e-45	5.9794463e-44
25.921875	1.7194650e-44	1.0395737e-45	5.9661102e-44
25.929688	1.7157634e-44	1.0375907e-45	5.9528185e-44
25.937500	1.7120719e-44	1.0356126e-45	5.9395711e-44
25.945312	1.7083905e-44	1.0336396e-45	5.9263678e-44
25.953125	1.7047192e-44	1.0316714e-45	5.9132084e-44
25.960938	1.7010580e-44	1.0297083e-45	5.9000928e-44
25.968750	1.6974067e-44	1.0277500e-45	5.8870207e-44
25.976562	1.6937654e-44	1.0257967e-45	5.8739919e-44
25.984375	1.6901340e-44	1.0238483e-45	5.8610064e-44
25.992188	1.6865126e-44	1.0219048e-45	5.8480638e-44
26.000000	1.6829010e-44	1.0199661e-45	5.8351641e-44
26.007812	1.6792993e-44	1.0180324e-45	5.8223070e-44
26.015625	1.6757073e-44	1.0161034e-45	5.8094924e-44
26.023438	1.6721252e-44	1.0141793e-45	5.7967200e-44
26.031250	1.6685528e-44	1.0122600e-45	5.7839898e-44
26.039062	1.6649902e-44	1.0103456e-45	5.7713015e-44
26.046875	1.6614372e-44	1.0084359e-45	5.7586550e-44
26.054688	1.6578939e-44	1.0065310e-45	5.7460501e-44
26.062500	1.6543602e-44	1.0046308e-45	5.7334865e-44
26.070312	1.6508361e-44	1.0027354e-45	5.7209642e-44
26.078125	1.6473216e-44	1.0008448e-45	5.7084830e-44
26.085938	1.6438166e-44	9.9895882e-46	5.6960427e-44
26.093750	1.6403211e-44	9.9707759e-46	5.6836432e-44
26.101562	1.6368351e-44	9.9520106e-46	5.6712841e-44
26.109375	1.6333586e-44	9.9332920e-46	5.6589655e-44
26.117188	1.6298915e-44	9.9146202e-46	5.6466872e-44
26.125000	1.6264337e-44	9.8959949e-46	5.6344488e-44
26.132812	1.6229854e-44	9.8774160e-46	5.6222504e-44
26.140625	1.6195463e-44	9.8588834e-46	5.6100917e-44
26.148438	1.6161166e-44	9.8403970e-46	5.5979726e-44
26.156250	1.6126961e-44	9.8219565e-46	5.5858929e-44
26.164062	1.6092849e-44	9.8035620e-46	5.5738524e-44
26.171875	1.6058829e-44	9.7852132e-46	5.5618511e-44
26.179688	1.6024901e-44	9.7669100e-46	5.5498886e-44
26.187500	1.5991064e-44	9.7486522e-46	5.5379649e-44
26.195312	1.5957319e-44	9.7304399e-46	5.5260798e-44
26.203125	1.5923664e-44	9.7122727e-46	5.5142332e-44
26.210938	1.5890101e-44	9.6941506e-46	5.5024248e-44
